health,status_x,index,uuid,pri,rep,docs.count_x,docs.deleted_x,store.size,pri.store.size,deleted_to_count_ratio,shard,prirep,ip,segment,generation,docs.count_y,docs.deleted_y,size,size.memory,committed,searchable,version,compound,segments_count,TenantId,Tenant,Business,Technical,Marketplace,Total,mean_size,95th_percentile_size,std_dev_size(mb),name,zipCode,country,state,city,address1,address2,address3,environmentType,description,minPasswordCharMix,passwordReuseInDays,passwordExpirationInDays,parentOrgId,minPasswordLength,status_y,podID,podName,productionFlag,statusMessage,tenantGroupId,tenantGroupName,createdBy,createTime,updatedBy,updateTime
green,open,devprod-9ibyw4vm3etgvfclpfcsob-asset_index-ccgf-audit,Z8H91ZltRX2ipD-vEgKsiA,1,1,772273464,0,596582.4,298393.6,0.0,0,r,x.x.x.x,_4uv,6295,9140036,0,3481.6,2610212,true,true,8.2.0,false,183.0,9IBYW4vm3etgVfcLPFCSOb,ScannerQE_Longivity,0,"255,817,889",0,255M,3224.61,5017.6,2194.55,ScannerQE_Longivity,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,f704bc38-c84e-47b3-a098-422c9362af05,Scanner_JuneGA_Prod,ma,2023-07-27T08:01:08Z,ma,2023-09-15T05:52:12Z
green,open,devprod-hm9iyez4jwvhxxpqan3tez-performance-ccgf-audit,vpQ4g45fScitVmFZJePXsg,1,1,296906600,0,408268.8,204083.2,0.0,0,r,x.x.x.x,_3v4,5008,7034285,0,5017.6,2395012,true,true,8.2.0,false,129.0,hM9iyEZ4JWvhXXpqAn3tEz,perf_dnd_09,"55,407","26,363,665",8,26M,3148.14,5120.0,2411.27,perf_dnd_09,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,78624286-ed14-4a5c-907c-7b40a1fca76a,Devprod_Performance_Tenants_Group,ma,2023-01-31T10:59:52Z,ma,2023-09-14T17:58:04Z
green,open,devprod-4kkblzb73mzg0zbb6jorms-asset_index-ccgf-audit,CvHBwsgxQKu0WWC7lZ9lpw,1,1,208106135,0,176435.2,88371.2,0.0,0,r,x.x.x.x,_5lm,7258,11612518,0,3993.6,2850756,true,true,8.2.0,false,87.0,4KkBLzB73Mzg0zBB6JORms,31July_Perf_QE1,"3,960","53,145,776",0,53M,2007.99,4915.2,2345.56,31July_Perf_QE1,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,79fa6e31-80ef-4f44-b37e-b7382e940abd,Perf_CA_BenchMarking_Prod,ma,2023-07-31T08:43:51Z,ma,2023-09-17T08:10:11Z
green,open,devprod-1bsgqul1hlyimudmtsazcw-asset_index-ccgf-audit,rG7VionOT42bFRZunTOv0g,1,1,119935217,0,94412.8,47104.0,0.0,0,p,x.x.x.x,_56u,6726,14847157,0,5017.6,3641124,true,true,8.2.0,false,80.0,1bsGqUL1hlyiMuDMTsAzCW,31July_Perf_QE2,0,"28,098,656",0,28M,1166.42,4915.2,1937.44,31July_Perf_QE2,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,89f1f4c9-7b05-4ece-a793-ed2f63ddb86d,prod_31July_PERF_QE3,ma,2023-07-31T08:51:56Z,ma,2023-09-18T17:08:12Z
green,open,devprod-9ibyw4vm3etgvfclpfcsob-log-ccgf-audit,M0MuaGiZSFmn456WoNISoQ,1,1,97000388,0,75366.4,37683.2,0.0,0,r,x.x.x.x,_35q,4094,9274169,0,3584.0,2363428,true,true,8.2.0,false,69.0,9IBYW4vm3etgVfcLPFCSOb,ScannerQE_Longivity,0,"255,817,889",0,255M,1079.79,5017.6,1814.55,ScannerQE_Longivity,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,f704bc38-c84e-47b3-a098-422c9362af05,Scanner_JuneGA_Prod,ma,2023-07-27T08:01:08Z,ma,2023-09-15T05:52:12Z
green,open,devprod-hm9iyez4jwvhxxpqan3tez-log-ccgf-audit,6GlYQobdSGCVV5WwhNOutA,1,1,75045989,0,69632.0,34816.0,0.0,0,r,x.x.x.x,_2cj,3043,11244085,0,5222.4,3372780,true,true,8.2.0,false,65.0,hM9iyEZ4JWvhXXpqAn3tEz,perf_dnd_09,"55,407","26,363,665",8,26M,1066.78,5201.92,1972.25,perf_dnd_09,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,78624286-ed14-4a5c-907c-7b40a1fca76a,Devprod_Performance_Tenants_Group,ma,2023-01-31T10:59:52Z,ma,2023-09-14T17:58:04Z
green,open,devprod-6uwtm55xjnmgmleiv4iyyz-asset_index-ccgf-audit,VDd-d39dQLWYdk2jN3mwqg,1,1,91139790,0,60108.8,30003.2,0.0,0,p,x.x.x.x,_5uq,7586,11228437,0,3686.4,2940164,true,true,8.2.0,false,68.0,6Uwtm55XJNmgmleiV4IyYz,perf_dnd_apr_01,0,0,0,23M,875.0,4710.4,1615.95,perf_dnd_apr_01,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,49e0e132-51a7-45a3-aba4-a93d9460d502,Devprod_Performance_Group_April,ma,2023-04-04T08:55:34Z,ma,2023-05-02T12:12:40Z
green,open,devprod-hm9iyez4jwvhxxpqan3tez-asset_index-ccgf-audit,orIJ92hPTJGKROLzVAfzdg,1,1,65108256,0,45977.6,22937.6,0.0,0,p,x.x.x.x,_75c,9264,11765735,0,3891.2,2703652,true,true,8.2.0,false,58.0,hM9iyEZ4JWvhXXpqAn3tEz,perf_dnd_09,"55,407","26,363,665",8,26M,782.36,4915.2,1621.6,perf_dnd_09,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,78624286-ed14-4a5c-907c-7b40a1fca76a,Devprod_Performance_Tenants_Group,ma,2023-01-31T10:59:52Z,ma,2023-09-14T17:58:04Z
green,open,devprod-8j0osry5bm2ewktaaxwbyw-log-ccgf-audit,eP7AvXsoTjqkuWpZYujq0g,1,1,46066657,0,40140.8,20070.4,0.0,0,r,x.x.x.x,_371,4141,11320907,0,5017.6,3069780,true,true,8.2.0,false,64.0,8J0oSrY5bm2eWKtaaXWByw,06July_Performance_QE,0,"19,983,815",0,19M,619.69,5017.6,1464.1,06July_Performance_QE,,United States,,,,,,0,,3.0,90.0,180.0,52ZSTB0IDK6dXxaEQLUaQu,9.0,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,664ea52c-5fea-4099-9838-33d68e05e1b0,2023.07_NewMITIDevprod_July07_perf_Prod,ma,2023-07-06T06:53:09Z,ma,2023-09-14T16:52:09Z
green,open,devprod-iqrcebz90ajkriujr100yr-log-ccgf-audit,i6B2CJq9TTSwVl7x7EN1Lw,1,1,37339659,0,40038.4,19968.0,0.0,0,p,x.x.x.x,_p3,903,10447895,0,5120.0,3331084,true,true,8.2.0,false,55.0,iQRCEBZ90ajkRIuJr100Yr,27Oct_CDMP_Perf_QE,0,0,"481,314",485k,721.29,5120.0,1512.98,,,,,,,,,,,,,,,,,,,,,,,,,,
