tenantId,name,zipCode,country,state,city,address1,address2,address3,environmentType,description,minPasswordCharMix,passwordReuseInDays,passwordExpirationInDays,parentOrgId,minPasswordLength,status,podID,podName,productionFlag,statusMessage,tenantGroupId,tenantGroupName,createdBy,createTime,updatedBy,updateTime
06MZ5kTYWQUcIDcvEVR2of,perf_dnd_59,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,f5ba0816-2168-401e-a971-ebcc12df0d6b,Performance_july_failed_Group-Quarantine,ma,2023-01-31T12:27:56Z,ma,2023-08-01T12:08:51Z
07Vwf9TwYADf45aSbj1vGy,PlatformQE_Metering_10_Suborg,,US,,,,,,0,,3,90,180,8Ysph08iZG7cV41d9jcjC4,9,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,c4d0d519-66c2-44d4-9173-e17691dda688,Default Provisioning Production Group-Quarantine,hawklics,2023-08-31T16:35:50Z,hawklics,2023-08-31T16:35:50Z
0ALebN4lmdrlph9T8tzBKE,infacore,,IN,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InitialTenantRegistrationPending,d8TPqZAQ06WkFZLGOshVmP,pod1,,,c4d0d519-66c2-44d4-9173-e17691dda688,Default Provisioning Production Group-Quarantine,ma,2022-11-23T10:43:15Z,ma,2022-11-23T10:43:15Z
0HfrMxp27nnlJenTy4AhcN,CDGC_V2_17Oct_Discovery_QE4,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,a8ee62ee-ffbf-4221-9272-34cbe477eae7, QE-ProductionGrp_07Dec_Discovery,ma,2022-10-17T14:21:22Z,ma,2023-04-12T02:43:38Z
0If9TUYShIZlJtg8s9xtQH,04April_Scanner_QE,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,d9f6080f-3454-495d-9a81-7b381344d796,SAPScanners_April4,ma,2023-04-04T07:01:37Z,ma,2023-07-25T14:16:27Z
0iT4pVTjCZSdfJ27gJQJKP,19Sep_CDGCUI_Perf_10,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,7e6a412b-2798-4e63-be7a-42bf934818f4,19Sept_CDGCUI_ProdGrp,ma,2023-09-19T07:32:44Z,ma,2023-09-19T07:50:07Z
0QfzyTFWU2ecWKLEUSsP4F,13June_Perf_QE_06,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,9490f008-3234-42fa-9014-31c454709855,May_Perf_Prod_DEV,ma,2023-06-13T15:15:25Z,ma,2023-08-07T11:00:53Z
0VKPKZnrNYNhwVU3lO4xIp,ScannersQE2_Nov_24,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InActive,d8TPqZAQ06WkFZLGOshVmP,pod1,,,35194b41-e5b4-46a4-b477-33a99d97f112,24Nov_Scanner_QE_Prod_12PM_MAIN,ma,2022-11-24T08:38:20Z,ma,2023-07-25T14:17:07Z
11F1DqUSzeofmhbDY3BKwn,cd_cdgc_003,,IN,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,Active,d8TPqZAQ06WkFZLGOshVmP,pod1,,,6cce3b91-654d-4503-acb1-c56f4cf33003,APP_TG_CDN,ma,2023-07-06T16:16:50Z,ma,2023-07-06T16:36:28Z
1257tQ2rQkujXVjn3Nxv6W,swati_mrelIDMC,,United States,,,,,,0,,3,90,180,52ZSTB0IDK6dXxaEQLUaQu,9,InitialTenantRegistrationPending,d8TPqZAQ06WkFZLGOshVmP,pod1,,,c4d0d519-66c2-44d4-9173-e17691dda688,Default Provisioning Production Group-Quarantine,ma,2023-08-01T23:31:29Z,ma,2023-08-01T23:31:29Z
